year,race_name,circuit,driver,team,finish_pos,status,start_grid,fp1_time,fp2_time,fp3_time,quali_pos,q1,q2,q3,pit_count,pit_time_total,avg_temp,avg_rain,overtakes,penalties,sc_count,vsc_count,red_flag_count,hist_avg_finish
2018,Bahrain Grand Prix,Bahrain International Circuit,STR,Williams,14.0,+1 Lap,20.0,93.379,92.382,92.865,20.0,0 days 00:01:31.503000,,,,,27.982524271844653,0.0,2,0,2,2,1,14.0
2018,Bahrain Grand Prix,Bahrain International Circuit,SIR,Williams,15.0,+1 Lap,18.0,93.467,92.474,92.463,18.0,0 days 00:01:31.414000,,,,,27.982524271844653,0.0,8,0,2,2,1,20.0
2018,Bahrain Grand Prix,Bahrain International Circuit,PER,Force India,16.0,+1 Lap,12.0,93.662,91.868,91.564,12.0,0 days 00:01:30.218000,0 days 00:01:30.156000,,,,27.982524271844653,0.0,14,0,2,2,1,11.0
2018,Bahrain Grand Prix,Bahrain International Circuit,HAR,Toro Rosso,17.0,+1 Lap,11.0,93.497,92.908,91.46,11.0,0 days 00:01:30.412000,0 days 00:01:30.105000,,,,27.982524271844653,0.0,13,1,2,2,1,15.0
2018,Bahrain Grand Prix,Bahrain International Circuit,RAI,Ferrari,18.0,Wheel,2.0,91.458,89.817,89.868,2.0,0 days 00:01:28.951000,0 days 00:01:28.515000,0 days 00:01:28.101000,,,27.982524271844653,0.0,2,0,2,2,1,3.0
2018,Bahrain Grand Prix,Bahrain International Circuit,VER,Red Bull Racing,19.0,Puncture,15.0,,90.745,90.393,15.0,0 days 00:01:29.374000,,,,,27.982524271844653,0.0,0,0,2,2,1,6.0
2018,Bahrain Grand Prix,Bahrain International Circuit,RIC,Red Bull Racing,20.0,Electrical,4.0,91.06,90.751,90.452,5.0,0 days 00:01:29.552000,0 days 00:01:28.962000,0 days 00:01:28.398000,,,27.982524271844653,0.0,0,0,2,2,1,4.0
2018,Chinese Grand Prix,Shanghai International Circuit,RIC,Red Bull Racing,1.0,Finished,6.0,94.537,94.557,95.061,6.0,0 days 00:01:33.877000,0 days 00:01:32.688000,0 days 00:01:31.948000,,,19.446428571428573,0.017857142857142856,7,0,2,0,1,12.0
2018,Chinese Grand Prix,Shanghai International Circuit,BOT,Mercedes,2.0,Finished,3.0,94.457,93.515,93.761,3.0,0 days 00:01:32.921000,0 days 00:01:32.063000,0 days 00:01:31.625000,,,19.446428571428573,0.017857142857142856,2,0,2,0,1,5.0
2018,Chinese Grand Prix,Shanghai International Circuit,RAI,Ferrari,3.0,Finished,2.0,94.358,93.489,93.469,2.0,0 days 00:01:32.474000,0 days 00:01:32.286000,0 days 00:01:31.182000,,,19.446428571428573,0.017857142857142856,5,0,2,0,1,10.5
2018,Chinese Grand Prix,Shanghai International Circuit,HAM,Mercedes,4.0,Finished,4.0,93.999,93.482,94.057,4.0,0 days 00:01:33.283000,0 days 00:01:31.914000,0 days 00:01:31.675000,,,19.446428571428573,0.017857142857142856,4,0,2,0,1,2.5
2018,Chinese Grand Prix,Shanghai International Circuit,VER,Red Bull Racing,5.0,Finished,5.0,94.668,93.823,93.969,5.0,0 days 00:01:32.932000,0 days 00:01:32.809000,0 days 00:01:31.796000,,,19.446428571428573,0.017857142857142856,4,1,2,0,1,12.5
2018,Chinese Grand Prix,Shanghai International Circuit,HUL,Renault,6.0,Finished,7.0,95.8,94.313,94.841,7.0,0 days 00:01:33.545000,0 days 00:01:32.494000,0 days 00:01:32.532000,,,19.446428571428573,0.017857142857142856,7,0,2,0,1,6.5
2018,Chinese Grand Prix,Shanghai International Circuit,ALO,McLaren,7.0,Finished,13.0,96.044,94.632,94.851,13.0,0 days 00:01:33.428000,0 days 00:01:33.232000,,,,19.446428571428573,0.017857142857142856,8,0,2,0,1,6.0
2018,Chinese Grand Prix,Shanghai International Circuit,VET,Ferrari,8.0,Finished,1.0,94.861,93.59,93.018,1.0,0 days 00:01:32.171000,0 days 00:01:32.385000,0 days 00:01:31.095000,,,19.446428571428573,0.017857142857142856,1,0,2,0,1,1.0
2018,Chinese Grand Prix,Shanghai International Circuit,SAI,Renault,9.0,Finished,9.0,95.616,94.473,94.582,9.0,0 days 00:01:33.315000,0 days 00:01:32.970000,0 days 00:01:32.819000,,,19.446428571428573,0.017857142857142856,11,0,2,0,1,10.5
2018,Chinese Grand Prix,Shanghai International Circuit,MAG,Haas F1 Team,10.0,Finished,11.0,95.178,94.458,94.329,11.0,0 days 00:01:33.359000,0 days 00:01:32.986000,,,,19.446428571428573,0.017857142857142856,7,0,2,0,1,11.0
2018,Chinese Grand Prix,Shanghai International Circuit,OCO,Force India,11.0,Finished,12.0,96.351,94.874,94.456,12.0,0 days 00:01:33.585000,0 days 00:01:33.057000,,,,19.446428571428573,0.017857142857142856,13,0,2,0,1,11.0
2018,Chinese Grand Prix,Shanghai International Circuit,PER,Force India,12.0,Finished,8.0,96.051,94.792,94.445,8.0,0 days 00:01:33.464000,0 days 00:01:32.931000,0 days 00:01:32.758000,,,19.446428571428573,0.017857142857142856,11,0,2,0,1,13.5
2018,Chinese Grand Prix,Shanghai International Circuit,VAN,McLaren,13.0,Finished,14.0,96.756,95.163,94.977,14.0,0 days 00:01:33.824000,0 days 00:01:33.505000,,,,19.446428571428573,0.017857142857142856,11,0,2,0,1,8.5
2018,Chinese Grand Prix,Shanghai International Circuit,STR,Williams,14.0,Finished,18.0,97.277,97.147,95.375,18.0,0 days 00:01:34.285000,,,,,19.446428571428573,0.017857142857142856,8,0,2,0,1,14.0
2018,Chinese Grand Prix,Shanghai International Circuit,SIR,Williams,15.0,Finished,16.0,96.691,95.34,94.741,16.0,0 days 00:01:34.062000,,,,,19.446428571428573,0.017857142857142856,8,0,2,0,1,17.5
2018,Chinese Grand Prix,Shanghai International Circuit,ERI,Sauber,16.0,Finished,20.0,96.909,95.624,95.679,20.0,0 days 00:01:34.914000,,,,,19.446428571428573,0.017857142857142856,11,0,2,0,1,14.0
2018,Chinese Grand Prix,Shanghai International Circuit,GRO,Haas F1 Team,17.0,Finished,10.0,95.718,96.471,95.756,10.0,0 days 00:01:33.238000,0 days 00:01:32.524000,0 days 00:01:32.855000,,,19.446428571428573,0.017857142857142856,12,0,2,0,1,14.5
2018,Chinese Grand Prix,Shanghai International Circuit,GAS,Toro Rosso,18.0,Finished,17.0,96.037,94.849,95.079,17.0,0 days 00:01:34.101000,,,,,19.446428571428573,0.017857142857142856,8,1,2,0,1,11.0
